book_id,city_id
"1","2490"
"1","21921"
"2","22827"
"2","22827"
"3","144"
"4","239"
"4","239"
"4","239"
"4","5852"
"4","239"
"4","239"
"4","20078"
"4","21519"
"5","21329"
"5","21329"
"5","21329"
"5","21329"
"5","21329"
"6","20078"
"6","239"
"6","23019"
"6","2561"
"6","239"
"6","20078"
"6","23019"
"6","23019"
"6","23019"
"6","23019"
"6","23019"
"6","20078"
"6","23019"
"6","1601"
"6","23019"
"6","239"
"6","4045"
"6","22455"
"6","4045"
"6","22579"
"6","15646"
"6","22455"
"6","22455"
"6","4045"
"6","228"
"6","3857"
"6","22565"
"6","22455"
"6","239"
"6","239"
"6","15664"
"6","15664"
"6","5727"
"6","1169"
"6","20947"
"6","22579"
"6","23019"
"7","21921"
"7","21149"
"7","239"
"8","21921"
"8","21149"
"8","21190"
"8","21726"
"9","21921"
"9","21149"
"9","21149"
"9","21726"
"10","21921"
"10","21921"
"10","21921"
"10","21857"
"10","21726"
"11","239"
"12","21921"
"12","21921"
"12","21732"
"12","21732"
"12","21921"
"12","21726"
"13","15135"
"13","15135"
"13","7784"
"14","22063"
"14","21921"
"15","23650"
"15","23613"
"15","23613"
"15","23613"
"16","21896"
"16","21896"
"16","21196"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","20681"
"16","19986"
"16","19986"
"16","21993"
"16","2576"
"16","20261"
"17","21651"
"18","21921"
"18","4045"
"18","239"
"18","8334"
"18","2870"
"18","20430"
"18","2870"
"18","20430"
"18","20430"
"18","2870"
"18","20430"
"18","2870"
"18","20430"
"18","21921"
"18","21363"
"19","22808"
"19","22808"
"19","22808"
"19","23080"
"19","22808"
"19","22808"
"19","19986"
"19","22808"
"19","22808"
"19","20356"
"19","22840"
"19","20356"
"19","20078"
"19","20356"
"19","22720"
"19","20541"
"19","20357"
"19","21194"
"19","21194"
"19","22648"
"19","21194"
"19","21194"
"19","21194"
"19","21194"
"19","22648"
"19","21194"
"19","21194"
"19","22720"
"19","22648"
"19","21194"
"19","21194"
"19","21194"
"19","22808"
"19","22808"
"19","22808"
"19","22808"
"19","22808"
"19","22808"
"19","22808"
"19","22808"
"19","21672"
"19","2490"
"19","239"
"19","22808"
"19","22808"
"19","22808"
"19","22808"
"19","22808"
"19","239"
"19","22808"
"19","21149"
"19","22888"
"19","22808"
"20","21921"
"20","21732"
"20","21921"
"20","21732"
"20","21726"
"21","21921"
"21","239"
"21","21732"
"21","21732"
"21","21726"
"22","21921"
"22","21921"
"22","21921"
"22","20373"
"22","21726"
"23","21921"
"23","21519"
"23","21969"
"23","21726"
"24","21921"
"24","21732"
"24","21985"
"25","20430"
"25","22641"
"26","20078"
"26","239"
"26","20357"
"26","239"
"26","239"
"26","239"
"26","239"
"26","239"
"26","239"
"26","239"
"26","19983"
"26","21666"
"26","239"
"26","20078"
"26","239"
"27","15879"
"27","15879"
"27","15879"
"28","21921"
"28","20430"
"28","239"
"29","239"
"29","239"
"30","21921"
"30","23459"
"30","23459"
"30","19985"
"30","239"
"30","239"
"30","23459"
"30","23459"
"30","23459"
"30","23459"
"30","23459"
"30","23459"
"30","21740"
"31","22720"
"32","21921"
"33","2538"
"34","21918"
"35","2514"
"36","21651"
"37","1405"
"37","20430"
"37","21716"
"37","21716"
"37","21071"
"37","20430"
"38","20321"
"38","20321"
"38","21651"
"39","21820"
"40","20045"
"40","20045"
"40","20045"
"41","2538"
"42","22720"
"42","20891"
"42","20430"
"43","239"
"44","20430"
"44","20430"
"44","20430"
"44","20430"
"44","1405"
"44","21071"
"44","23568"
"44","21477"
"44","1169"
"44","20430"
"44","20430"
"45","21921"
"45","1405"
"46","273"
"46","234"
"46","236"
"46","236"
"46","234"
"46","236"
"46","273"
"46","273"
"46","236"
"46","236"
"46","273"
"46","234"
"46","236"
"46","273"
"46","273"
"46","273"
"46","234"
"46","273"
"46","273"
"46","273"
"46","273"
"46","273"
"46","273"
"46","273"
"46","236"
"46","273"
"46","273"
"46","273"
